layer,neuron_index,activation,feature_type
3,591,0.8939019083976746,math
1,111,0.8870764255523682,math
3,1550,0.8448850274085998,math
3,226,0.8381438970565795,math
3,772,0.8172735095024108,math
3,1106,0.8020548820495605,math
2,958,0.801648736000061,math
3,712,0.8011138916015625,math
3,450,0.7906547665596009,math
3,1578,0.7566158711910248,math
3,136,0.7293706655502319,math
3,604,0.7133572816848754,math
3,155,0.7120612680912017,math
3,411,0.6916584312915802,math
2,1199,0.6647665977478028,math
3,956,0.6586653411388397,math
3,1144,0.6406547009944916,math
3,1627,0.6327234506607056,math
2,494,0.6056546449661255,math
3,1078,0.5933570265769958,math
2,866,0.5844427704811096,math
3,1176,0.5715266346931458,math
2,2005,0.5708883762359619,math
3,83,0.5652088344097137,math
3,887,0.559418386220932,math
3,1171,0.556215089559555,math
3,1197,0.5437914609909058,math
3,679,0.5400877714157104,math
3,1772,0.5230097651481629,math
3,272,0.5181787505745887,math
3,1246,0.5136987805366516,math
3,162,0.4919839441776276,math
